2025-12-22 00:25:41.867131+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867150+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867157+00:00 | ERROR | NAVIGATION | Path planning failed: No valid route found to target 
2025-12-22 00:25:41.867162+00:00 | WARN | NAVIGATION | Deviation from planned path: 1.9m 
2025-12-22 00:25:41.867166+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867169+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867172+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867175+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867179+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867181+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867184+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867187+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867190+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867192+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867195+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867198+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867201+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867203+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867206+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867209+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867211+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867214+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867217+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867220+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867222+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867225+00:00 | WARN | PERCEPTION | High latency in bounding box projection: 117ms 
2025-12-22 00:25:41.867228+00:00 | WARN | POWER | High power draw from PERCEPTION suite - 167W 
